path,git_status,change_type,category,recommended_commit_group,reason,risk_level,notes
reports/nucleation/nucleus_energy_output_index.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/nucleation/nucleus_selector_integration_report.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/nucleation/nucleus_shape_statistics.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/nucleus_cuda_integration/cuda_entry_points.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/nucleus_cuda_integration/nucleus_selector_cuda_hook_report.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/root_archive/csv/composition_variable_audit.csv,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/csv/cuda_binding_verification.csv,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/csv/cuda_execution_summary.csv,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/csv/mapping_ambiguity_report.csv,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/csv/physics_consistency_delta.csv,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/csv/reference_state_audit.csv,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/csv/thermo_object_inventory.csv,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/md/beta_phase_report.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/md/composition_mapping_risk_report.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/md/coupling_consistency_report.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/md/cuda_runtime_fix_report.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/md/discretization_bias_report.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/md/dual_track_architecture.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/md/gp_physics_report.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/md/mapping_binding_final_report.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/md/microstructure_capability_report.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/md/nucleation_operator_report.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/md/nucleus_auto_minimize_pipeline_audit.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/md/nucleus_generator_system_report.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/md/nucleus_geometry_mapping_report.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/md/nucleus_minimization_pipeline_map.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/md/nucleus_orchestrator_report.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/md/pf_backbone_report.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/md/physics_closed_loop_consistency_report.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/md/system_architecture_audit_report.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/md/system_runtime_mechanism_report.md,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/root_archive/misc/system_flow_diagram.txt,??,untracked,cleanup_archive,Commit 1 — repo cleanup: archive root reports and generated tables under reports/,"Archive / cleanup support artifact, not functional model code.",low,Cleanup archive artifact under reports/root_archive or reports/consolidated/root_*
reports/step_reports/STEP41D_GP_BETA_DRIVING_FORCE_COMPARISON_REPORT.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/stochastic_layer/gp_physics_separation_report.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/stochastic_layer/gp_ranked_hazard_report.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/stochastic_layer/hazard_function_spec.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/stochastic_layer/stochastic_GP_beta_nucleation_report.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/validation/comparison_report.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/validation/comparison_summary.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/validation/continuous_physics_summary.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/validation/observed_barrier_reconstruction.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/validation/quantitative_validation_summary.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/validation/quantitative_validation_table.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/validation/validation_comparison_table.csv,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/validation/validation_layer_report.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
reports/validation/validation_minimal_loop_report.md,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
s_field_definition.py,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Functional workflow or runtime code; keep out of cleanup commit
scripts/dry_run_gp_assisted_beta_event.py,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Analysis/generation workflow code
scripts/dry_run_gp_mass_budget_initialization.py,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Analysis/generation workflow code
scripts/gp_assisted_locked_S_temperature_prediction_template.py,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Analysis/generation workflow code
scripts/propose_gp_S_calibration_and_prediction.py,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Analysis/generation workflow code
selected_nucleus.json,??,untracked,generated_runtime_outputs,Commit 4 — results: add selected validation outputs and reports,Generated report/data/config artifact; consider tracking only if curated.,low,Generated report/data/config/runtime artifact
shape_library/README.md,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Functional workflow or runtime code; keep out of cleanup commit
tools/analysis/gp_assisted_beta_nucleation.py,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Analysis/generation workflow code
tools/analysis/run_gp_external_prediction_validation.py,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Analysis/generation workflow code
tools/analysis/validate_cuda_nucleus_usability.py,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Analysis/generation workflow code
tools/analysis/workstation_cnt_batch.py,??,untracked,functional_nucleation_changes,Commit 3 — nucleation workflow: dynamic-continue / nucleus generator / CNT changes,Functional code or workflow plumbing; must stay separate from cleanup.,medium,Analysis/generation workflow code
validate_minimal_physics_loop.py,??,untracked,default_path_migration,Commit 2 — path migration: route validation and nucleation outputs to reports/,Changes default output paths and/or docs to prefer reports/ over root.,medium,Primary script/doc path-default migration target
validate_nucleation_theory_vs_cuda.py,??,untracked,default_path_migration,Commit 2 — path migration: route validation and nucleation outputs to reports/,Changes default output paths and/or docs to prefer reports/ over root.,medium,Primary script/doc path-default migration target
